                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2052,                 3.2101,                 1.5232,                0.85521,                0.54009,                0.71825,                0.50719,                 1.5778,                 1.6273,                 1.3596,                      0,                      0,                      0
                      2,                 1.0175,                 2.8389,                 1.3651,                0.90042,                0.52478,                0.71946,                0.51003,                 1.5478,                  1.596,                 1.3372,             1.0722e-06,             1.0722e-06,             1.0722e-06
                      3,                 1.0861,                 2.8592,                  1.484,                0.90329,                0.53168,                0.72679,                0.50461,                 1.5499,                 1.5825,                 1.3289,             1.9088e-06,             1.9088e-06,             1.9088e-06
                      4,                0.95265,                 2.1724,                 1.3329,                0.90463,                0.53322,                0.72533,                0.50929,                  1.566,                 1.5883,                  1.338,             2.5097e-06,             2.5097e-06,             2.5097e-06
                      5,                 1.1314,                 1.8411,                 1.3577,                0.90684,                0.54022,                0.70762,                0.50367,                 1.5566,                 1.5904,                 1.3308,              2.875e-06,              2.875e-06,              2.875e-06
                      6,                  1.146,                 2.0352,                 1.3386,                 0.9106,                0.54537,                0.70794,                0.50447,                 1.5527,                 1.5836,                 1.3298,             3.0048e-06,             3.0048e-06,             3.0048e-06
                      7,                  1.036,                 2.3376,                 1.3482,                0.91397,                   0.55,                0.74857,                0.52847,                 1.5519,                 1.5833,                 1.3207,             2.8988e-06,             2.8988e-06,             2.8988e-06
                      8,                 1.0319,                 2.2823,                 1.4294,                0.91418,                   0.55,                0.74883,                0.53311,                 1.5408,                 1.5903,                  1.317,             2.5573e-06,             2.5573e-06,             2.5573e-06
                      9,                 1.0065,                 2.7369,                  1.257,                0.91382,                   0.55,                0.75038,                 0.5381,                 1.5305,                 1.5951,                 1.3113,             1.9802e-06,             1.9802e-06,             1.9802e-06
                     10,                0.93116,                 1.9439,                 1.2343,                0.91365,                   0.55,                0.74866,                  0.549,                 1.5443,                  1.625,                 1.3215,             1.1674e-06,             1.1674e-06,             1.1674e-06
